id,entity_id,entity_type,anomaly_type,reason,severity,related_entities,evidence_count,created_at
AN000001,P000625,PERSON,COMMUNICATION_BURST,"23 outgoing calls recorded on 2024-10-18, compared with a baseline average of 1.0 calls/day (23.0x increase).",high,[],23,2026-09-07T05:41:20.148592Z
AN000002,P000381,PERSON,SUDDEN_NETWORK_EXPANSION,14 new ASSOCIATED_WITH relationships appeared in the final 45 days of the observation window (since 2026-07-17) versus a prior baseline of ~0.3 per 45 days - a 47x expansion.,high,[],14,2026-09-07T05:41:20.148606Z
AN000003,P000441,PERSON,SUDDEN_NETWORK_EXPANSION,14 new ASSOCIATED_WITH relationships appeared in the final 45 days of the observation window (since 2026-07-17) versus a prior baseline of ~0.3 per 45 days - a 47x expansion.,high,[],14,2026-09-07T05:41:20.148613Z
AN000004,AC000004,BANK_ACCOUNT,FINANCIAL_SPIKE,"Rs. 24,950,000 moved through account XXXX8272 on 2025-10-20 (13 transfers) versus a daily median of Rs. 2,000,000 (12.5x).",high,"[""P000002""]",13,2026-09-07T05:41:20.148620Z
AN000005,AC000023,BANK_ACCOUNT,FINANCIAL_SPIKE,"Rs. 35,200,000 moved through account XXXX2288 on 2024-07-23 (13 transfers) versus a daily median of Rs. 1,550,000 (22.7x).",high,"[""P000020""]",13,2026-09-07T05:41:20.148626Z
AN000006,AC000025,BANK_ACCOUNT,FINANCIAL_SPIKE,"Rs. 32,550,000 moved through account XXXX2567 on 2024-09-28 (13 transfers) versus a daily median of Rs. 1,600,000 (20.3x).",high,"[""P000021""]",13,2026-09-07T05:41:20.148632Z
AN000007,P000333,PERSON,SUDDEN_NETWORK_EXPANSION,13 new ASSOCIATED_WITH relationships appeared in the final 45 days of the observation window (since 2026-07-17) versus a prior baseline of ~0.3 per 45 days - a 43x expansion.,high,[],13,2026-09-07T05:41:20.148638Z
AN000008,AC000024,BANK_ACCOUNT,FINANCIAL_SPIKE,"Rs. 21,550,000 moved through account XXXX8927 on 2026-06-21 (12 transfers) versus a daily median of Rs. 1,700,000 (12.7x).",high,"[""P000020""]",12,2026-09-07T05:41:20.148644Z
AN000009,P000386,PERSON,SUDDEN_NETWORK_EXPANSION,11 new ASSOCIATED_WITH relationships appeared in the final 45 days of the observation window (since 2026-07-17) versus a prior baseline of ~0.3 per 45 days - a 37x expansion.,high,[],11,2026-09-07T05:41:20.148650Z
AN000010,P000425,PERSON,SUDDEN_NETWORK_EXPANSION,11 new ASSOCIATED_WITH relationships appeared in the final 45 days of the observation window (since 2026-07-17) versus a prior baseline of ~0.3 per 45 days - a 37x expansion.,high,[],11,2026-09-07T05:41:20.148656Z
AN000011,P000311,PERSON,SUDDEN_NETWORK_EXPANSION,11 new ASSOCIATED_WITH relationships appeared in the final 45 days of the observation window (since 2026-07-17) versus a prior baseline of ~0.3 per 45 days - a 37x expansion.,high,[],11,2026-09-07T05:41:20.148662Z
AN000012,AC000040,BANK_ACCOUNT,FINANCIAL_SPIKE,"Rs. 20,800,000 moved through account XXXX3701 on 2025-04-29 (8 transfers) versus a daily median of Rs. 700,000 (29.7x).",high,"[""P000033""]",8,2026-09-07T05:41:20.148667Z
AN000013,AC000027,BANK_ACCOUNT,FINANCIAL_SPIKE,"Rs. 20,100,000 moved through account XXXX7731 on 2025-08-09 (7 transfers) versus a daily median of Rs. 1,150,000 (17.5x).",high,"[""P000021""]",7,2026-09-07T05:41:20.148673Z
AN000014,AC000003,BANK_ACCOUNT,FINANCIAL_SPIKE,"Rs. 22,950,000 moved through account XXXX9339 on 2024-09-25 (5 transfers) versus a daily median of Rs. 650,000 (35.3x).",high,"[""P000002""]",5,2026-09-07T05:41:20.148679Z
AN000015,AC000026,BANK_ACCOUNT,FINANCIAL_SPIKE,"Rs. 16,800,000 moved through account XXXX2330 on 2025-10-12 (4 transfers) versus a daily median of Rs. 600,000 (28.0x).",high,"[""P000021""]",4,2026-09-07T05:41:20.148685Z
AN000016,VH000029,VEHICLE,RAPID_VEHICLE_MOVEMENT,Vehicle TN39 JX 9364 recorded at Gandhipuram Warehouse Complex and Kajamalai Junction (92 km apart) within 68 minutes on 2024-04-19.,high,"[""P000042""]",3,2026-09-07T05:41:20.148691Z
AN000017,VH000118,VEHICLE,RAPID_VEHICLE_MOVEMENT,Vehicle TN01 HL 6352 recorded at Mettupalayam Wholesale Market and Mettupalayam Cold Storage (271 km apart) within 86 minutes on 2026-03-16.,high,"[""P000174""]",3,2026-09-07T05:41:20.148696Z
AN000018,VH000161,VEHICLE,RAPID_VEHICLE_MOVEMENT,Vehicle TN27 VW 1054 recorded at Azhagar Koil Road Fuel Station and Ambattur Warehouse Complex (377 km apart) within 79 minutes on 2024-02-27.,high,"[""P000282""]",3,2026-09-07T05:41:20.148702Z
AN000019,VH000225,VEHICLE,RAPID_VEHICLE_MOVEMENT,Vehicle TN39 VL 7688 recorded at Kuruvikulam Residential Layout and Nellithope Cold Storage (501 km apart) within 78 minutes on 2026-01-19.,high,"[""P000571""]",3,2026-09-07T05:41:20.148708Z
AN000020,VH000228,VEHICLE,RAPID_VEHICLE_MOVEMENT,Vehicle TN01 JC 8318 recorded at Ambattur Warehouse Complex and Ukkadam Toll Plaza (254 km apart) within 68 minutes on 2025-02-03.,high,"[""P000577""]",3,2026-09-07T05:41:20.148714Z
AN000021,VH000215,VEHICLE,RAPID_VEHICLE_MOVEMENT,Vehicle TN21 MD 3058 recorded at Thirunagar Cold Storage and Valluvar Layout Night Bazaar (195 km apart) within 74 minutes on 2025-06-02.,high,"[""P000529""]",3,2026-09-07T05:41:20.148719Z
AN000022,VH000188,VEHICLE,RAPID_VEHICLE_MOVEMENT,Vehicle TN58 BJ 2700 recorded at Ganapathy Mandi and Pothigai Nagar Toll Plaza (137 km apart) within 71 minutes on 2025-03-01.,high,"[""P000374""]",3,2026-09-07T05:41:20.148725Z
AN000023,VH000101,VEHICLE,RAPID_VEHICLE_MOVEMENT,Vehicle TN46 LW 5025 recorded at Velachery Oil Depot and Tambaram Toll Plaza (378 km apart) within 69 minutes on 2025-06-05.,high,"[""P000150""]",3,2026-09-07T05:41:20.148731Z
AN000024,VH000043,VEHICLE,RAPID_VEHICLE_MOVEMENT,Vehicle TN46 RU 9180 recorded at Ganapathy Bus Terminus and Sowdambika Layout Night Bazaar (345 km apart) within 81 minutes on 2026-02-01.,high,"[""P000065""]",3,2026-09-07T05:41:20.148736Z
