id,user_id,action,details,created_at
AU000001,US000003,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-432""}",2026-04-11T07:16:03Z
AU000002,US000003,REPORT_GENERATED,"{""report_id"": ""RP000632""}",2026-01-02T03:52:49Z
AU000003,US000001,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000559"", ""evidence_type"": ""CDR""}",2024-10-25T16:13:48Z
AU000004,US000003,LOGIN,"{""email"": ""analyst@drishyam.demo""}",2024-11-20T17:06:42Z
AU000005,US000003,FIR_FILED,"{""fir_number"": ""FIR-520"", ""entities_found"": 7}",2025-12-25T21:56:21Z
AU000006,US000001,LOGIN,"{""email"": ""investigator@drishyam.demo""}",2025-11-09T19:54:47Z
AU000007,US000002,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-465""}",2025-07-26T03:01:56Z
AU000008,US000002,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000409"", ""status"": ""PASSED""}",2024-03-15T17:41:25Z
AU000009,US000003,REPORT_GENERATED,"{""report_id"": ""RP000625""}",2024-02-21T11:23:36Z
AU000010,US000002,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-173""}",2026-02-25T18:13:12Z
AU000011,US000003,REPORT_GENERATED,"{""report_id"": ""RP000401""}",2025-05-25T22:49:49Z
AU000012,US000001,LOGIN,"{""email"": ""investigator@drishyam.demo""}",2024-07-24T11:19:59Z
AU000013,US000003,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000484"", ""evidence_type"": ""CDR""}",2025-01-25T03:37:50Z
AU000014,US000002,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000349"", ""status"": ""PASSED""}",2026-05-10T15:53:05Z
AU000015,US000001,FIR_FILED,"{""fir_number"": ""FIR-589"", ""entities_found"": 7}",2025-06-24T22:15:17Z
AU000016,US000003,LOGIN,"{""email"": ""analyst@drishyam.demo""}",2026-04-24T08:59:56Z
AU000017,US000002,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000306"", ""status"": ""PASSED""}",2025-02-12T18:58:26Z
AU000018,US000002,REPORT_GENERATED,"{""report_id"": ""RP000468""}",2026-08-26T00:42:38Z
AU000019,US000002,LOGIN,"{""email"": ""admin@drishyam.demo""}",2026-05-08T10:23:51Z
AU000020,US000001,LOGIN,"{""email"": ""investigator@drishyam.demo""}",2024-08-01T21:46:54Z
AU000021,US000001,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-441""}",2024-04-02T12:00:08Z
AU000022,US000003,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000365"", ""status"": ""PASSED""}",2025-04-27T11:20:39Z
AU000023,US000003,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000544"", ""evidence_type"": ""CDR""}",2026-08-02T08:25:05Z
AU000024,US000001,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000522"", ""evidence_type"": ""CDR""}",2025-04-15T21:20:12Z
AU000025,US000002,FIR_FILED,"{""fir_number"": ""FIR-660"", ""entities_found"": 7}",2024-09-08T10:01:36Z
AU000026,US000001,LOGIN,"{""email"": ""investigator@drishyam.demo""}",2026-02-16T06:16:15Z
AU000027,US000001,FIR_FILED,"{""fir_number"": ""FIR-276"", ""entities_found"": 7}",2026-07-18T09:27:08Z
AU000028,US000001,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-831""}",2026-02-06T11:30:04Z
AU000029,US000003,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000401"", ""evidence_type"": ""CDR""}",2025-11-06T11:42:46Z
AU000030,US000001,FIR_FILED,"{""fir_number"": ""FIR-838"", ""entities_found"": 7}",2026-03-25T09:31:44Z
AU000031,US000001,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000147"", ""status"": ""PASSED""}",2024-10-22T14:26:59Z
AU000032,US000001,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000596"", ""status"": ""PASSED""}",2025-05-14T01:19:38Z
AU000033,US000003,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-413""}",2025-05-11T19:20:22Z
AU000034,US000003,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000014"", ""evidence_type"": ""CDR""}",2025-04-25T05:42:40Z
AU000035,US000001,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000611"", ""status"": ""PASSED""}",2025-10-15T20:27:49Z
AU000036,US000001,FIR_FILED,"{""fir_number"": ""FIR-541"", ""entities_found"": 7}",2024-03-10T09:10:02Z
AU000037,US000001,FIR_FILED,"{""fir_number"": ""FIR-627"", ""entities_found"": 7}",2025-11-22T06:03:56Z
AU000038,US000002,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2025-06-13T13:51:18Z
AU000039,US000001,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000427"", ""evidence_type"": ""CDR""}",2024-06-04T19:33:30Z
AU000040,US000001,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000055"", ""status"": ""PASSED""}",2024-01-09T18:47:30Z
AU000041,US000003,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000308"", ""status"": ""PASSED""}",2025-04-25T23:22:32Z
AU000042,US000001,LOGIN,"{""email"": ""investigator@drishyam.demo""}",2026-04-01T10:33:59Z
AU000043,US000002,FIR_FILED,"{""fir_number"": ""FIR-838"", ""entities_found"": 7}",2026-04-26T17:56:41Z
AU000044,US000003,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000445"", ""evidence_type"": ""CDR""}",2025-06-04T18:50:42Z
AU000045,US000002,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000640"", ""status"": ""PASSED""}",2026-06-06T01:06:44Z
AU000046,US000003,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000705"", ""evidence_type"": ""CDR""}",2025-08-28T09:43:04Z
AU000047,US000002,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-396""}",2024-10-06T11:51:19Z
AU000048,US000002,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000028"", ""evidence_type"": ""CDR""}",2025-02-16T23:13:56Z
AU000049,US000001,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-433""}",2024-02-24T11:20:57Z
AU000050,US000003,EVIDENCE_INTEGRITY_VERIFIED,"{""evidence_id"": ""EV000503"", ""status"": ""PASSED""}",2024-11-17T18:31:47Z
AU000051,US000002,AI_QUERY,"{""question"": ""Summarize the network around a tracked subject.""}",2026-07-20T00:37:45Z
AU000052,US000002,EVIDENCE_REGISTERED,"{""evidence_id"": ""EV000030"", ""evidence_type"": ""CDR""}",2024-02-21T20:09:00Z
AU000053,US000001,LOGIN,"{""email"": ""investigator@drishyam.demo""}",2025-09-08T19:07:06Z
AU000054,US000002,DATA_IMPORT,"{""type"": ""fir"", ""fir_number"": ""FIR-217""}",2024-02-08T06:36:21Z
