id,evidence_id,handled_by,action,occurred_at
COC000001,EV000001,OF000002,COLLECTED,2024-02-04T13:31:08Z
COC000002,EV000001,OF000003,SEALED,2024-02-04T19:31:08Z
COC000003,EV000001,OF000007,TRANSFERRED,2024-02-05T13:31:08Z
COC000004,EV000001,OF000003,RECEIVED_IN_VAULT,2024-02-06T13:31:08Z
COC000005,EV000001,OF000003,VERIFIED,2024-02-07T13:31:08Z
COC000006,EV000002,OF000007,COLLECTED,2024-02-29T02:05:06Z
COC000007,EV000002,OF000007,SEALED,2024-02-29T08:05:06Z
COC000008,EV000002,OF000001,TRANSFERRED,2024-03-01T02:05:06Z
COC000009,EV000002,OF000004,RECEIVED_IN_VAULT,2024-03-02T02:05:06Z
COC000010,EV000002,OF000004,VERIFIED,2024-03-03T02:05:06Z
COC000011,EV000003,OF000001,COLLECTED,2024-06-12T22:29:04Z
COC000012,EV000003,OF000001,SEALED,2024-06-13T04:29:04Z
COC000013,EV000003,OF000006,TRANSFERRED,2024-06-13T22:29:04Z
COC000014,EV000003,OF000006,RECEIVED_IN_VAULT,2024-06-14T22:29:04Z
COC000015,EV000003,OF000008,VERIFIED,2024-06-15T22:29:04Z
COC000016,EV000004,OF000007,COLLECTED,2026-07-06T14:11:21Z
COC000017,EV000004,OF000005,SEALED,2026-07-06T20:11:21Z
COC000018,EV000004,OF000008,TRANSFERRED,2026-07-07T14:11:21Z
COC000019,EV000004,OF000004,RECEIVED_IN_VAULT,2026-07-08T14:11:21Z
COC000020,EV000004,OF000006,VERIFIED,2026-07-09T14:11:21Z
COC000021,EV000005,OF000006,COLLECTED,2025-12-27T01:56:54Z
COC000022,EV000005,OF000006,SEALED,2025-12-27T07:56:54Z
COC000023,EV000005,OF000001,TRANSFERRED,2025-12-28T01:56:54Z
COC000024,EV000005,OF000002,RECEIVED_IN_VAULT,2025-12-29T01:56:54Z
COC000025,EV000005,OF000008,VERIFIED,2025-12-30T01:56:54Z
COC000026,EV000006,OF000006,COLLECTED,2026-04-15T15:51:54Z
COC000027,EV000006,OF000001,SEALED,2026-04-15T21:51:54Z
COC000028,EV000006,OF000006,TRANSFERRED,2026-04-16T15:51:54Z
COC000029,EV000006,OF000004,RECEIVED_IN_VAULT,2026-04-17T15:51:54Z
COC000030,EV000006,OF000001,VERIFIED,2026-04-18T15:51:54Z
COC000031,EV000008,OF000008,COLLECTED,2025-09-18T01:11:02Z
COC000032,EV000008,OF000003,SEALED,2025-09-18T07:11:02Z
COC000033,EV000008,OF000007,TRANSFERRED,2025-09-19T01:11:02Z
COC000034,EV000008,OF000007,RECEIVED_IN_VAULT,2025-09-20T01:11:02Z
COC000035,EV000008,OF000005,VERIFIED,2025-09-21T01:11:02Z
COC000036,EV000009,OF000005,COLLECTED,2024-08-18T18:16:29Z
COC000037,EV000009,OF000002,SEALED,2024-08-19T00:16:29Z
COC000038,EV000009,OF000004,TRANSFERRED,2024-08-19T18:16:29Z
COC000039,EV000009,OF000003,RECEIVED_IN_VAULT,2024-08-20T18:16:29Z
COC000040,EV000009,OF000006,VERIFIED,2024-08-21T18:16:29Z
COC000041,EV000010,OF000007,COLLECTED,2025-07-22T15:40:36Z
COC000042,EV000010,OF000003,SEALED,2025-07-22T21:40:36Z
COC000043,EV000010,OF000005,TRANSFERRED,2025-07-23T15:40:36Z
