id,case_number,title,crime_type,district,status,opened_at,data_source,created_at
CS000001,CASE-0001,Operation Bluefin — Money Laundering probe (Salem),money laundering,Salem,under_investigation,2024-09-18T10:23:03Z,SYNTHETIC,2026-09-07T05:25:48.238999Z
CS000002,CASE-0002,Murder racket dismantled in Chennai,murder,Chennai,under_investigation,2025-12-26T09:06:04Z,SYNTHETIC,2026-09-07T05:25:48.239215Z
CS000003,CASE-0003,Vehicle Theft syndicate in ,vehicle theft,Chennai,closed,2025-07-26T18:14:31Z,SYNTHETIC,2026-09-07T05:25:48.239380Z
CS000004,CASE-0004,Investigation into Extortion at Adyar,extortion,Kancheepuram,under_investigation,2024-09-07T08:03:34Z,SYNTHETIC,2026-09-07T05:25:48.239533Z
CS000005,CASE-0005,Murder corridor case — Thanjavur,murder,Thanjavur,open,2024-11-24T20:41:01Z,SYNTHETIC,2026-09-07T05:25:48.239685Z
CS000006,CASE-0006,Operation Bluefin — Smuggling probe (Madurai),smuggling,Madurai,open,2024-10-20T09:23:35Z,SYNTHETIC,2026-09-07T05:25:48.239845Z
CS000007,CASE-0007,Narcotics Trafficking racket dismantled in Coimbatore,narcotics trafficking,Coimbatore,open,2025-07-20T16:40:35Z,SYNTHETIC,2026-09-07T05:25:48.240062Z
CS000008,CASE-0008,Fraud syndicate in ,fraud,Coimbatore,under_investigation,2026-06-28T04:25:44Z,SYNTHETIC,2026-09-07T05:25:48.240225Z
CS000009,CASE-0009,Investigation into Money Laundering at Keezhakkarai,money laundering,Pudukkottai,closed,2024-02-28T06:06:31Z,SYNTHETIC,2026-09-07T05:25:48.240368Z
CS000010,CASE-0010,Smuggling corridor case — Chennai,smuggling,Chennai,open,2026-08-13T02:49:53Z,SYNTHETIC,2026-09-07T05:25:48.240514Z
CS000011,CASE-0011,Operation Ebonwing — Smuggling probe (Ariyalur),smuggling,Ariyalur,open,2026-03-12T20:05:48Z,SYNTHETIC,2026-09-07T05:25:48.240744Z
CS000012,CASE-0012,Narcotics Trafficking racket dismantled in Madurai,narcotics trafficking,Madurai,under_investigation,2025-12-25T23:28:34Z,SYNTHETIC,2026-09-07T05:25:48.240957Z
CS000013,CASE-0013,Extortion syndicate linked to ,extortion,Chennai,under_investigation,2024-08-20T22:28:43Z,SYNTHETIC,2026-09-07T05:25:48.241177Z
CS000014,CASE-0014,Investigation into Counterfeiting at Tambaram,counterfeiting,Erode,open,2024-05-28T19:17:02Z,SYNTHETIC,2026-09-07T05:25:48.241816Z
CS000015,CASE-0015,Smuggling corridor case — Tiruchchirappalli,smuggling,Tiruchchirappalli,open,2025-02-04T10:18:31Z,SYNTHETIC,2026-09-07T05:25:48.241971Z
CS000016,CASE-0016,Operation Bluewater — Extortion probe (Chengalpattu),extortion,Chengalpattu,open,2026-08-02T03:29:14Z,SYNTHETIC,2026-09-07T05:25:48.242190Z
CS000017,CASE-0017,Cybercrime racket dismantled in Tiruvannamalai,cybercrime,Tiruvannamalai,open,2024-10-16T19:21:38Z,SYNTHETIC,2026-09-07T05:25:48.242404Z
CS000018,CASE-0018,Smuggling syndicate in ,smuggling,Erode,open,2026-03-20T19:47:56Z,SYNTHETIC,2026-09-07T05:25:48.242549Z
CS000019,CASE-0019,Investigation into Smuggling at Bharathi Bazaar,smuggling,Tiruppur,under_investigation,2025-06-16T04:26:24Z,SYNTHETIC,2026-09-07T05:25:48.242703Z
CS000020,CASE-0020,Counterfeiting corridor case — Madurai,counterfeiting,Madurai,open,2025-12-18T21:36:35Z,SYNTHETIC,2026-09-07T05:25:48.242898Z
CS000021,CASE-0021,Operation Ebonwing — Robbery probe (Kancheepuram),robbery,Kancheepuram,open,2024-03-04T19:32:41Z,SYNTHETIC,2026-09-07T05:25:48.243106Z
CS000022,CASE-0022,Narcotics Trafficking racket dismantled in Thoothukudi,narcotics trafficking,Thoothukudi,under_investigation,2024-07-24T18:41:53Z,SYNTHETIC,2026-09-07T05:25:48.243255Z
CS000023,CASE-0023,Money Laundering syndicate linked to ,money laundering,Villupuram,under_investigation,2025-04-23T23:13:57Z,SYNTHETIC,2026-09-07T05:25:48.243444Z
CS000024,CASE-0024,Investigation into Vehicle Theft at Sulur,vehicle theft,Tiruppur,closed,2024-02-13T17:54:12Z,SYNTHETIC,2026-09-07T05:25:48.243651Z
CS000025,CASE-0025,Smuggling corridor case — Coimbatore,smuggling,Coimbatore,open,2025-06-19T11:35:52Z,SYNTHETIC,2026-09-07T05:25:48.243799Z
CS000026,CASE-0026,Operation Silverhawk — Money Laundering probe (Chennai),money laundering,Chennai,closed,2024-09-23T20:49:52Z,SYNTHETIC,2026-09-07T05:25:48.244017Z
CS000027,CASE-0027,Extortion racket dismantled in Chennai,extortion,Chennai,under_investigation,2025-02-21T16:30:00Z,SYNTHETIC,2026-09-07T05:25:48.244254Z
CS000028,CASE-0028,Narcotics Trafficking syndicate linked to ,narcotics trafficking,Erode,open,2026-03-07T03:40:50Z,SYNTHETIC,2026-09-07T05:25:48.244456Z
CS000029,CASE-0029,Investigation into Extortion at Vilachery,extortion,Tiruchchirappalli,under_investigation,2024-08-30T16:05:38Z,SYNTHETIC,2026-09-07T05:25:48.244669Z
CS000030,CASE-0030,Narcotics Trafficking corridor case — Tiruchchirappalli,narcotics trafficking,Tiruchchirappalli,open,2026-03-04T06:13:12Z,SYNTHETIC,2026-09-07T05:25:48.244811Z
CS000031,CASE-0031,Operation Grayshield — Money Laundering probe (Pudukkottai),money laundering,Pudukkottai,open,2026-08-01T04:56:20Z,SYNTHETIC,2026-09-07T05:25:48.244956Z
CS000032,CASE-0032,Kidnapping racket dismantled in Madurai,kidnapping,Madurai,closed,2026-05-22T04:05:40Z,SYNTHETIC,2026-09-07T05:25:48.245170Z
CS000033,CASE-0033,Extortion syndicate linked to ,extortion,Madurai,open,2024-10-12T20:54:19Z,SYNTHETIC,2026-09-07T05:25:48.245315Z
CS000034,CASE-0034,Investigation into Fraud at Meenakshi Nagar,fraud,Sivaganga,open,2024-10-26T13:54:19Z,SYNTHETIC,2026-09-07T05:25:48.245515Z
CS000035,CASE-0035,Smuggling corridor case — Perambalur,smuggling,Perambalur,under_investigation,2024-04-18T06:06:52Z,SYNTHETIC,2026-09-07T05:25:48.245658Z
CS000036,CASE-0036,Operation Ebonwing — Robbery probe (Coimbatore),robbery,Coimbatore,under_investigation,2025-04-17T02:41:28Z,SYNTHETIC,2026-09-07T05:25:48.245856Z
CS000037,CASE-0037,Counterfeiting racket dismantled in Thoothukudi,counterfeiting,Thoothukudi,closed,2025-10-02T13:44:16Z,SYNTHETIC,2026-09-07T05:25:48.246004Z
CS000038,CASE-0038,Extortion syndicate in ,extortion,Chengalpattu,open,2026-03-26T16:00:15Z,SYNTHETIC,2026-09-07T05:25:48.246154Z
CS000039,CASE-0039,Investigation into Extortion at Sundarankottai,extortion,Nilgiris,under_investigation,2024-05-17T08:40:23Z,SYNTHETIC,2026-09-07T05:25:48.246282Z
CS000040,CASE-0040,Narcotics Trafficking corridor case — Vellore,narcotics trafficking,Vellore,open,2025-03-05T03:15:34Z,SYNTHETIC,2026-09-07T05:25:48.246419Z
CS000041,CASE-0041,Operation Sandstorm — Cybercrime probe (Thanjavur),cybercrime,Thanjavur,open,2025-01-04T10:51:27Z,SYNTHETIC,2026-09-07T05:25:48.246560Z
CS000042,CASE-0042,Murder racket dismantled in Madurai,murder,Madurai,under_investigation,2025-05-06T22:12:28Z,SYNTHETIC,2026-09-07T05:25:48.246710Z
CS000043,CASE-0043,Fraud syndicate in ,fraud,Madurai,under_investigation,2025-09-30T13:23:21Z,SYNTHETIC,2026-09-07T05:25:48.246853Z
CS000044,CASE-0044,Investigation into Cybercrime at Pappanaickenpalayam,cybercrime,Erode,closed,2024-09-25T16:49:56Z,SYNTHETIC,2026-09-07T05:25:48.246994Z
CS000045,CASE-0045,Robbery corridor case — Salem,robbery,Salem,open,2026-05-04T17:18:39Z,SYNTHETIC,2026-09-07T05:25:48.247133Z
CS000046,CASE-0046,Operation Cobra — Smuggling probe (Villupuram),smuggling,Villupuram,under_investigation,2026-06-07T00:44:01Z,SYNTHETIC,2026-09-07T05:25:48.247345Z
CS000047,CASE-0047,Murder racket dismantled in Salem,murder,Salem,under_investigation,2024-12-30T23:09:48Z,SYNTHETIC,2026-09-07T05:25:48.247552Z
