id,source_entity_id,candidate_entity_id,match_score,match_status,matching_method,supporting_evidence,reviewed_by,reviewed_at,created_at
MT000001,P000521,P000596,0.76,POSSIBLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-02-11T21:50:18Z
MT000002,P000240,P000408,0.32,REJECTED,fuzzy_name+alias+shared_asset,"[""Both identities carry the same documented alias."", ""One identity's alias matches the other's registered name.""]",US000002,2024-04-02T22:06:08Z,2025-02-16T23:13:56Z
MT000003,P000158,P000226,0.67,UNRESOLVED,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-11-06T09:29:18Z
MT000004,P000267,P000617,0.64,UNRESOLVED,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-09-06T01:02:32Z
MT000005,P000479,P000583,0.67,UNRESOLVED,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2026-02-16T16:46:10Z
MT000006,P000069,P000595,0.67,UNRESOLVED,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2025-10-17T18:00:12Z
MT000007,P000223,P000414,0.72,POSSIBLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-02-24T11:20:57Z
MT000008,P000286,P000299,0.48,REJECTED,fuzzy_name+alias+shared_asset,"[""Both identities carry the same documented alias."", ""One identity's alias matches the other's registered name.""]",US000002,2025-08-19T03:38:40Z,2026-01-31T20:50:03Z
MT000009,P000042,P000626,0.67,UNRESOLVED,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-08-14T22:53:45Z
MT000010,P000019,P000308,0.74,POSSIBLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-11-17T18:31:47Z
MT000011,P000246,P000350,0.58,UNRESOLVED,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2025-07-11T19:22:20Z
MT000012,P000573,P000607,0.75,POSSIBLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2026-07-20T00:37:45Z
MT000013,P000233,P000318,0.39,REJECTED,fuzzy_name+alias+shared_asset,"[""Both identities carry the same documented alias."", ""One identity's alias matches the other's registered name.""]",US000002,2025-02-16T00:23:33Z,2025-05-15T03:56:58Z
MT000014,P000369,P000370,0.23,REJECTED,fuzzy_name+alias+shared_asset,"[""Both identities carry the same documented alias."", ""One identity's alias matches the other's registered name.""]",US000002,2024-02-15T02:34:21Z,2025-03-10T17:59:13Z
MT000015,P000004,P000279,0.75,POSSIBLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-02-21T20:09:00Z
MT000016,P000311,P000417,0.73,POSSIBLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-05-15T01:30:45Z
MT000017,P000480,P000544,0.67,UNRESOLVED,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-04-23T01:37:44Z
MT000018,P000166,P000445,0.87,PROBABLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2025-01-08T18:53:37Z
MT000019,P000073,P000235,0.8,PROBABLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2025-09-08T19:07:06Z
MT000020,P000469,P000608,0.59,UNRESOLVED,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-11-19T03:29:40Z
MT000021,P000233,P000337,0.47,REJECTED,fuzzy_name+alias+shared_asset,"[""Both identities carry the same documented alias."", ""One identity's alias matches the other's registered name.""]",US000002,2025-04-27T05:39:29Z,2024-01-22T04:54:02Z
MT000022,P000163,P000348,0.73,POSSIBLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-11-25T02:44:23Z
MT000023,P000241,P000539,0.74,POSSIBLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-02-08T06:36:21Z
MT000024,P000554,P000567,0.76,POSSIBLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2024-04-22T15:46:07Z
MT000025,P000049,P000082,0.38,REJECTED,fuzzy_name+alias+shared_asset,"[""Both identities carry the same documented alias."", ""One identity's alias matches the other's registered name.""]",US000002,2026-05-30T18:32:38Z,2024-03-22T04:14:03Z
MT000026,P000125,P000169,0.72,POSSIBLE,fuzzy_name+alias+shared_asset,"[""High string similarity between full names in separate records.""]",,,2025-10-11T00:41:56Z
