id,organization_id,territory,created_at
GA000001,ORG000001,Tiruvannamalai,2026-09-07T05:25:55.397991Z
GA000002,ORG000002,Salem,2026-09-07T05:25:55.397996Z
GA000003,ORG000003,Nilgiris,2026-09-07T05:25:55.398000Z
GA000004,ORG000004,Thiruvallur,2026-09-07T05:25:55.398003Z
GA000005,ORG000005,Nilgiris,2026-09-07T05:25:55.398007Z
GA000006,ORG000006,Thiruvallur,2026-09-07T05:25:55.398010Z
GA000007,ORG000007,Kancheepuram,2026-09-07T05:25:55.398014Z
GA000008,ORG000008,Madurai,2026-09-07T05:25:55.398018Z
GA000009,ORG000009,Dharmapuri,2026-09-07T05:25:55.398021Z
GA000010,ORG000010,Tiruvannamalai,2026-09-07T05:25:55.398027Z
GA000011,ORG000011,Villupuram,2026-09-07T05:25:55.398033Z
GA000012,ORG000012,Nilgiris,2026-09-07T05:25:55.398038Z
