id,name,district,latitude,longitude,data_source,created_at
LOC000001,Ganapathy City Police Station,Madurai,9.890236,78.293145,SYNTHETIC,2026-09-07T05:25:48.175646Z
LOC000002,Velachery Oil Depot,Kancheepuram,12.973993,79.880195,SYNTHETIC,2026-09-07T05:25:48.175678Z
LOC000003,Thirunagar Cold Storage,Villupuram,11.927149,79.611349,SYNTHETIC,2026-09-07T05:25:48.175696Z
LOC000004,Chokkanadar Harbour Police Station,Chennai,13.062683,80.276205,SYNTHETIC,2026-09-07T05:25:48.175712Z
LOC000005,Kajamalai Junction,Tiruchchirappalli,10.67648,78.610602,SYNTHETIC,2026-09-07T05:25:48.175727Z
LOC000006,Pappanaickenpalayam Bridge End,Chennai,13.05413,80.312801,SYNTHETIC,2026-09-07T05:25:48.175740Z
LOC000007,Muthialpet Check Post,Madurai,10.082219,78.28367,SYNTHETIC,2026-09-07T05:25:48.175753Z
LOC000008,Ambattur Warehouse Complex,Kancheepuram,12.90812,79.762149,SYNTHETIC,2026-09-07T05:25:48.175764Z
LOC000009,Chokkanadar Pettai Oil Depot,Villupuram,12.032734,79.439704,SYNTHETIC,2026-09-07T05:25:48.175774Z
LOC000010,Kuruvikulam Residential Layout,Thoothukudi,8.774427,77.898633,SYNTHETIC,2026-09-07T05:25:48.175786Z
LOC000011,Peelamedu Harbour Gate,Vellore,13.037142,79.021088,SYNTHETIC,2026-09-07T05:25:48.175797Z
LOC000012,KK Nagar Night Bazaar,Pudukkottai,10.368976,78.783047,SYNTHETIC,2026-09-07T05:25:48.175806Z
LOC000013,Bharathi Bazaar Wholesale Market,Madurai,9.929281,78.269251,SYNTHETIC,2026-09-07T05:25:48.175818Z
LOC000014,Estancia Bridge End,Madurai,9.769697,78.210044,SYNTHETIC,2026-09-07T05:25:48.175829Z
LOC000015,Valluvar Layout Night Bazaar,Karur,10.951655,78.065144,SYNTHETIC,2026-09-07T05:25:48.175838Z
LOC000016,Ukkadam Harbour Police Station,Coimbatore,11.047415,76.927481,SYNTHETIC,2026-09-07T05:25:48.175850Z
LOC000017,Egmore Cold Storage,Chennai,13.226896,80.238423,SYNTHETIC,2026-09-07T05:25:48.175862Z
LOC000018,Anna Nagar Bus Terminus,Chennai,13.246606,80.303836,SYNTHETIC,2026-09-07T05:25:48.175873Z
LOC000019,Meenakshi Nagar Agro Market,Ariyalur,11.317122,78.918091,SYNTHETIC,2026-09-07T05:25:48.175882Z
LOC000020,Mylapore City Police Station,Salem,11.594643,78.014839,SYNTHETIC,2026-09-07T05:25:48.175893Z
LOC000021,Valluvar Layout Harbour Gate,Chengalpattu,12.659899,79.874456,SYNTHETIC,2026-09-07T05:25:48.175904Z
LOC000022,Nellithope Cold Storage,Kancheepuram,12.984451,79.609075,SYNTHETIC,2026-09-07T05:25:48.175918Z
LOC000023,Sundarankottai Fuel Station,Vellore,12.869195,79.082635,SYNTHETIC,2026-09-07T05:25:48.175930Z
LOC000024,Palladam Check Post,Tiruchchirappalli,10.833893,78.683008,SYNTHETIC,2026-09-07T05:25:48.175941Z
LOC000025,Anna Nagar Check Post,Tiruchchirappalli,10.840876,78.856765,SYNTHETIC,2026-09-07T05:25:48.175953Z
LOC000026,Kajamalai Industrial Estate,Chennai,13.147346,80.32409,SYNTHETIC,2026-09-07T05:25:48.175964Z
LOC000027,Mettupalayam Cold Storage,Chennai,13.146937,80.103679,SYNTHETIC,2026-09-07T05:25:48.175976Z
LOC000028,Ganapathy Mandi,Madurai,10.063402,78.052829,SYNTHETIC,2026-09-07T05:25:48.175987Z
LOC000029,Estancia Fuel Station,Madurai,10.07928,77.95969,SYNTHETIC,2026-09-07T05:25:48.175999Z
LOC000030,Ganapathy Junction,Cuddalore,11.651999,79.666529,SYNTHETIC,2026-09-07T05:25:48.176007Z
LOC000031,Peelamedu Textile Mill,Ariyalur,10.973209,79.026141,SYNTHETIC,2026-09-07T05:25:48.176017Z
LOC000032,Bharathi Bazaar Agro Market,Chennai,13.148683,80.352327,SYNTHETIC,2026-09-07T05:25:48.176027Z
LOC000033,Ukkadam Toll Plaza,Tiruchchirappalli,10.861007,78.676202,SYNTHETIC,2026-09-07T05:25:48.176038Z
LOC000034,Mattuthavani Junction,Madurai,10.037257,78.089098,SYNTHETIC,2026-09-07T05:25:48.176050Z
LOC000035,Arumbakkam Godown Compound,Madurai,9.825084,78.128437,SYNTHETIC,2026-09-07T05:25:48.176061Z
LOC000036,Pothigai Nagar Oil Depot,Chennai,13.035002,80.368286,SYNTHETIC,2026-09-07T05:25:48.176072Z
LOC000037,Chokkanadar Pettai Textile Mill,Chennai,12.966801,80.189583,SYNTHETIC,2026-09-07T05:25:48.176083Z
LOC000038,Tambaram Toll Plaza,Madurai,10.098319,77.956043,SYNTHETIC,2026-09-07T05:25:48.176094Z
LOC000039,Thirunagar Industrial Estate,Coimbatore,10.980856,77.018148,SYNTHETIC,2026-09-07T05:25:48.176105Z
LOC000040,Gandhipuram Textile Mill,Thoothukudi,8.608728,78.080271,SYNTHETIC,2026-09-07T05:25:48.176116Z
LOC000041,Vilachery Cold Storage,Chengalpattu,12.762145,79.822648,SYNTHETIC,2026-09-07T05:25:48.176127Z
LOC000042,Chromepet Agro Market,Cuddalore,11.616912,79.748166,SYNTHETIC,2026-09-07T05:25:48.176139Z
LOC000043,Sowdambika Layout Night Bazaar,Chennai,13.202725,80.186564,SYNTHETIC,2026-09-07T05:25:48.176150Z
LOC000044,Sulur Check Post,Coimbatore,11.091622,77.02984,SYNTHETIC,2026-09-07T05:25:48.176161Z
LOC000045,Pothigai Nagar Toll Plaza,Coimbatore,10.90867,77.104619,SYNTHETIC,2026-09-07T05:25:48.176172Z
LOC000046,Royapuram Fuel Station,Salem,11.530539,78.321275,SYNTHETIC,2026-09-07T05:25:48.176183Z
LOC000047,Azhagar Koil Road Junction,Thoothukudi,8.80056,78.027255,SYNTHETIC,2026-09-07T05:25:48.176194Z
LOC000048,Sulur Railway Yard,Tiruchchirappalli,10.729609,78.844988,SYNTHETIC,2026-09-07T05:25:48.176205Z
LOC000049,Gandhipuram Warehouse Complex,Madurai,9.979827,78.127515,SYNTHETIC,2026-09-07T05:25:48.176216Z
LOC000050,Ganapathy Bus Terminus,Karur,10.837732,78.047539,SYNTHETIC,2026-09-07T05:25:48.176225Z
LOC000051,Chokkanadar Pettai Outer Ring Road,Thoothukudi,8.630315,78.045007,SYNTHETIC,2026-09-07T05:25:48.176239Z
LOC000052,Coimbatore Junction Construction Site,Salem,11.716714,78.247778,SYNTHETIC,2026-09-07T05:25:48.176250Z
LOC000053,Mettupalayam Wholesale Market,Thanjavur,10.825783,79.294678,SYNTHETIC,2026-09-07T05:25:48.176261Z
LOC000054,Kallamadu Agro Market,Thanjavur,10.773304,79.124912,SYNTHETIC,2026-09-07T05:25:48.176272Z
LOC000055,Kuruvikulam Construction Site,Tiruppur,10.961245,77.209306,SYNTHETIC,2026-09-07T05:25:48.176283Z
LOC000056,Kallamadu Industrial Estate,Chennai,13.258021,80.163062,SYNTHETIC,2026-09-07T05:25:48.176294Z
LOC000057,Azhagar Koil Road Fuel Station,Madurai,9.821061,78.263086,SYNTHETIC,2026-09-07T05:25:48.176305Z
LOC000058,Anna Nagar Lorry Park,Tiruvannamalai,12.093605,79.221015,SYNTHETIC,2026-09-07T05:25:48.176315Z
LOC000059,RS Puram Agro Market,Tiruppur,10.942099,77.460773,SYNTHETIC,2026-09-07T05:25:48.176326Z
LOC000060,Ukkadam Cold Storage,Tiruchchirappalli,10.727959,78.781286,SYNTHETIC,2026-09-07T05:25:48.176337Z
LOC000061,Central Market Junction,Chengalpattu,12.6819,79.9864,SYNTHETIC,2026-09-07T05:25:48.258099Z
LOC000061,Central Market Junction,Chengalpattu,12.6819,79.9864,SYNTHETIC,2026-09-07T05:25:48.258099Z
