id,entity_id,degree_centrality,betweenness_centrality,pagerank,computed_at
NA000001,P000359,0.0032,0.0024,0.0006,2026-09-07T05:25:52.415347Z
NA000002,PH000001,0.0011,0,0.0002,2026-09-07T05:25:52.415361Z
NA000003,P000001,0.0215,0.0164,0.0045,2026-09-07T05:25:52.415367Z
NA000004,VH000001,0.0011,0,0.0002,2026-09-07T05:25:52.415374Z
NA000005,P000005,0.0102,0.0055,0.0018,2026-09-07T05:25:52.415379Z
NA000006,AC000001,0.0016,0.0005,0.0003,2026-09-07T05:25:52.415385Z
NA000007,ORG000001,0.0156,0.0198,0.0023,2026-09-07T05:25:52.415390Z
NA000008,P000286,0.0038,0.0013,0.0006,2026-09-07T05:25:52.415395Z
NA000009,PH000026,0.0011,0,0.0002,2026-09-07T05:25:52.415401Z
NA000010,P000019,0.0225,0.0213,0.005,2026-09-07T05:25:52.415406Z
NA000011,VH000012,0.0011,0.0002,0.0002,2026-09-07T05:25:52.415410Z
NA000012,P000025,0.0091,0.0087,0.0018,2026-09-07T05:25:52.415416Z
NA000013,ORG000002,0.0145,0.0105,0.002,2026-09-07T05:25:52.415421Z
NA000014,P000244,0.0059,0.0042,0.001,2026-09-07T05:25:52.415426Z
NA000015,PH000042,0.0011,0,0.0002,2026-09-07T05:25:52.415431Z
NA000016,P000032,0.0166,0.009,0.0042,2026-09-07T05:25:52.415436Z
NA000017,VH000022,0.0011,0,0.0002,2026-09-07T05:25:52.415441Z
NA000018,P000042,0.007,0.0024,0.0013,2026-09-07T05:25:52.415447Z
NA000019,AC000038,0.0011,0,0.0002,2026-09-07T05:25:52.415452Z
NA000020,ORG000003,0.0107,0.0066,0.0015,2026-09-07T05:25:52.415457Z
NA000021,P000383,0.0032,0.0019,0.0007,2026-09-07T05:25:52.415461Z
NA000022,PH000057,0.0011,0.0003,0.0002,2026-09-07T05:25:52.415466Z
NA000023,P000044,0.0279,0.0306,0.006,2026-09-07T05:25:52.415477Z
NA000024,VH000031,0.0011,0.0001,0.0002,2026-09-07T05:25:52.415482Z
NA000025,P000062,0.0118,0.0053,0.002,2026-09-07T05:25:52.415487Z
NA000026,ORG000004,0.0199,0.0145,0.0027,2026-09-07T05:25:52.415492Z
NA000027,P000428,0.0043,0.002,0.0009,2026-09-07T05:25:52.415496Z
NA000028,PH000090,0.0011,0.0001,0.0002,2026-09-07T05:25:52.415501Z
NA000029,P000071,0.0258,0.0224,0.0052,2026-09-07T05:25:52.415506Z
NA000030,VH000048,0.0011,0,0.0002,2026-09-07T05:25:52.415510Z
NA000031,P000083,0.0113,0.0094,0.0018,2026-09-07T05:25:52.415515Z
NA000032,AC000083,0.0016,0.0012,0.0003,2026-09-07T05:25:52.415520Z
NA000033,ORG000005,0.0209,0.014,0.0028,2026-09-07T05:25:52.415524Z
NA000034,P000443,0.0059,0.0027,0.001,2026-09-07T05:25:52.415529Z
NA000035,PH000124,0.0011,0.0001,0.0002,2026-09-07T05:25:52.415533Z
NA000036,P000096,0.0193,0.0159,0.0042,2026-09-07T05:25:52.415538Z
NA000037,VH000064,0.0011,0,0.0002,2026-09-07T05:25:52.415542Z
NA000038,P000107,0.0075,0.0077,0.0014,2026-09-07T05:25:52.415547Z
NA000039,ORG000006,0.0134,0.0082,0.002,2026-09-07T05:25:52.415551Z
NA000040,P000256,0.0043,0.0022,0.0007,2026-09-07T05:25:52.415556Z
NA000041,PH000139,0.0011,0,0.0002,2026-09-07T05:25:52.415560Z
NA000042,P000109,0.0172,0.0114,0.0044,2026-09-07T05:25:52.415565Z
NA000043,VH000074,0.0011,0,0.0002,2026-09-07T05:25:52.415570Z
NA000044,P000110,0.0081,0.0031,0.0016,2026-09-07T05:25:52.415574Z
NA000045,AC000129,0.0021,0.0011,0.0004,2026-09-07T05:25:52.415579Z
NA000046,ORG000007,0.0129,0.0103,0.0019,2026-09-07T05:25:52.415583Z
NA000047,P000246,0.0043,0.0012,0.0006,2026-09-07T05:25:52.415588Z
NA000048,PH000152,0.0011,0,0.0002,2026-09-07T05:25:52.415592Z
NA000049,P000120,0.0183,0.0084,0.004,2026-09-07T05:25:52.415596Z
NA000050,VH000082,0.0011,0,0.0002,2026-09-07T05:25:52.415601Z
NA000051,P000129,0.0075,0.0023,0.0014,2026-09-07T05:25:52.415605Z
NA000052,ORG000008,0.0177,0.0144,0.0025,2026-09-07T05:25:52.415610Z
NA000053,P000331,0.0054,0.0028,0.0009,2026-09-07T05:25:52.415615Z
NA000054,PH000176,0.0011,0.0001,0.0002,2026-09-07T05:25:52.415619Z
NA000055,P000138,0.0188,0.0089,0.0046,2026-09-07T05:25:52.415624Z
NA000056,VH000092,0.0011,0.0001,0.0002,2026-09-07T05:25:52.415629Z
NA000057,P000153,0.0081,0.0033,0.0016,2026-09-07T05:25:52.415633Z
NA000058,AC000166,0.0016,0.0011,0.0003,2026-09-07T05:25:52.415638Z
NA000059,ORG000009,0.0183,0.0151,0.0024,2026-09-07T05:25:52.415642Z
NA000060,P000398,0.0038,0.0016,0.0006,2026-09-07T05:25:52.415647Z
NA000061,PH000194,0.0011,0,0.0002,2026-09-07T05:25:52.415651Z
NA000062,P000154,0.0204,0.014,0.0046,2026-09-07T05:25:52.415656Z
NA000063,VH000105,0.0011,0,0.0002,2026-09-07T05:25:52.415660Z
NA000064,P000162,0.0086,0.0082,0.0015,2026-09-07T05:25:52.415664Z
NA000065,ORG000010,0.0177,0.0146,0.0025,2026-09-07T05:25:52.415669Z
NA000066,P000227,0.0059,0.0029,0.0009,2026-09-07T05:25:52.415674Z
NA000067,PH000212,0.0011,0.0001,0.0002,2026-09-07T05:25:52.415679Z
NA000068,P000169,0.0274,0.032,0.0052,2026-09-07T05:25:52.415683Z
NA000069,VH000114,0.0011,0,0.0002,2026-09-07T05:25:52.415687Z
NA000070,P000179,0.0107,0.0109,0.0018,2026-09-07T05:25:52.415692Z
NA000071,AC000203,0.0021,0.0031,0.0004,2026-09-07T05:25:52.415696Z
NA000072,ORG000011,0.0225,0.0234,0.0033,2026-09-07T05:25:52.415701Z
NA000073,P000441,0.0027,0.0027,0.0005,2026-09-07T05:25:52.415705Z
NA000074,PH000244,0.0011,0.0001,0.0002,2026-09-07T05:25:52.415710Z
NA000075,P000197,0.0188,0.0136,0.0047,2026-09-07T05:25:52.415714Z
NA000076,VH000132,0.0011,0.0001,0.0002,2026-09-07T05:25:52.415719Z
NA000077,P000201,0.0081,0.004,0.0016,2026-09-07T05:25:52.415723Z
NA000078,ORG000012,0.0118,0.0077,0.0018,2026-09-07T05:25:52.415729Z
NA000079,P000625,0.0145,0.0092,0.0022,2026-09-07T05:25:52.415734Z
NA000080,PH000434,0.0011,0,0.0002,2026-09-07T05:25:52.415739Z
NA000081,P000626,0.0048,0.0029,0.0007,2026-09-07T05:25:52.415743Z
NA000082,VH000235,0.0011,0,0.0002,2026-09-07T05:25:52.415748Z
NA000083,P000627,0.0027,0.0004,0.0005,2026-09-07T05:25:52.415753Z
NA000084,AC000392,0.0021,0.0018,0.0004,2026-09-07T05:25:52.415757Z
