id,source_entity_id,source_entity_type,target_entity_id,target_entity_type,relationship_type,confidence_score,first_seen_at,last_seen_at,source_record_id,source_record_type,evidence_id,status,created_at
REL000001,P000359,PERSON,PH000001,PHONE,COMMUNICATED_WITH,0.93,2025-05-01T07:48:45Z,2026-03-15T10:33:20Z,CDR-P00035-6986,CDR,EV000001,active,2026-09-07T05:41:13.217253Z
REL000002,P000001,PERSON,PH000001,PHONE,USED_PHONE,0.97,2025-05-30T20:56:39Z,2024-11-22T12:27:40Z,REG-PH000001,TELECOM_REGISTRY,EV000002,active,2026-09-07T05:41:13.217286Z
REL000003,P000001,PERSON,VH000001,VEHICLE,USED_VEHICLE,0.95,2025-06-03T21:04:38Z,2026-07-26T06:39:40Z,ANPR-VH000001,ANPR,EV000003,active,2026-09-07T05:41:13.217308Z
REL000004,P000005,PERSON,VH000001,VEHICLE,USED_VEHICLE,0.9,2025-09-20T22:12:48Z,2025-08-09T03:05:35Z,CCTV-VH000001,SURVEILLANCE,EV000004,active,2026-09-07T05:41:13.217328Z
REL000005,P000005,PERSON,AC000001,BANK_ACCOUNT,LINKED_TO,0.88,2026-08-05T13:11:15Z,2025-09-16T04:00:17Z,RTGS-AC000001,FINANCIAL,EV000005,active,2026-09-07T05:41:13.217356Z
REL000006,P000001,PERSON,AC000001,BANK_ACCOUNT,LINKED_TO,0.97,2026-06-17T05:46:39Z,2025-05-10T21:24:03Z,KYC-AC000001,FINANCIAL,EV000006,active,2026-09-07T05:41:13.217376Z
REL000007,P000001,PERSON,ORG000001,GANG,MEMBER_OF,0.98,2026-04-06T08:26:14Z,2026-06-26T05:00:35Z,DOC-EV000007,FIR,EV000008,active,2026-09-07T05:41:13.217401Z
REL000008,P000286,PERSON,PH000026,PHONE,COMMUNICATED_WITH,0.93,2025-12-04T19:12:24Z,2024-06-11T10:15:20Z,CDR-P00028-1843,CDR,EV000009,active,2026-09-07T05:41:13.217461Z
REL000009,P000019,PERSON,PH000026,PHONE,USED_PHONE,0.97,2025-03-20T01:15:23Z,2024-08-10T18:43:05Z,REG-PH000026,TELECOM_REGISTRY,EV000010,active,2026-09-07T05:41:13.217483Z
REL000010,P000019,PERSON,VH000012,VEHICLE,USED_VEHICLE,0.95,2025-07-30T09:13:43Z,2026-04-10T15:45:16Z,ANPR-VH000012,ANPR,EV000011,active,2026-09-07T05:41:13.217503Z
REL000011,P000025,PERSON,VH000012,VEHICLE,USED_VEHICLE,0.9,2025-09-03T01:02:47Z,2024-05-15T11:44:45Z,CCTV-VH000012,SURVEILLANCE,EV000012,active,2026-09-07T05:41:13.217526Z
REL000012,P000025,PERSON,ORG000002,GANG,MEMBER_OF,0.98,2025-07-19T11:50:10Z,2024-09-01T11:59:55Z,DOC-EV000013,FIR,EV000014,active,2026-09-07T05:41:13.217551Z
REL000013,P000244,PERSON,PH000042,PHONE,COMMUNICATED_WITH,0.93,2024-07-09T17:52:58Z,2025-01-25T05:06:06Z,CDR-P00024-1493,CDR,EV000015,active,2026-09-07T05:41:13.217604Z
REL000014,P000032,PERSON,PH000042,PHONE,USED_PHONE,0.97,2026-01-17T14:49:00Z,2026-05-04T16:26:02Z,REG-PH000042,TELECOM_REGISTRY,EV000016,active,2026-09-07T05:41:13.217623Z
REL000015,P000032,PERSON,VH000022,VEHICLE,USED_VEHICLE,0.95,2024-11-18T12:04:31Z,2024-03-16T09:59:30Z,ANPR-VH000022,ANPR,EV000017,active,2026-09-07T05:41:13.217646Z
REL000016,P000042,PERSON,VH000022,VEHICLE,USED_VEHICLE,0.9,2025-04-07T22:59:01Z,2024-11-14T02:38:10Z,CCTV-VH000022,SURVEILLANCE,EV000018,active,2026-09-07T05:41:13.217666Z
