id,report_id,file_format,storage_path,created_at
RF000001,RP000001,pdf,/secure_vault/reports/RP000001.pdf,2024-06-26T06:25:18Z
RF000002,RP000002,docx,/secure_vault/reports/RP000002.pdf,2025-08-03T19:45:58Z
RF000003,RP000003,pdf,/secure_vault/reports/RP000003.pdf,2024-04-30T07:21:55Z
RF000004,RP000004,pdf,/secure_vault/reports/RP000004.pdf,2026-01-19T13:48:42Z
RF000005,RP000005,docx,/secure_vault/reports/RP000005.pdf,2024-06-20T17:27:37Z
RF000006,RP000006,pdf,/secure_vault/reports/RP000006.pdf,2024-08-28T02:52:58Z
RF000007,RP000007,docx,/secure_vault/reports/RP000007.pdf,2025-07-14T05:14:46Z
RF000008,RP000008,docx,/secure_vault/reports/RP000008.pdf,2025-04-04T02:58:46Z
RF000009,RP000009,pdf,/secure_vault/reports/RP000009.pdf,2024-11-06T08:51:53Z
RF000010,RP000010,docx,/secure_vault/reports/RP000010.pdf,2025-06-21T15:47:25Z
RF000011,RP000011,pdf,/secure_vault/reports/RP000011.pdf,2026-07-22T17:40:17Z
RF000012,RP000012,pdf,/secure_vault/reports/RP000012.pdf,2026-06-18T10:01:08Z
