id,location_id,person_id,vehicle_id,observed_at,notes,data_source
SR000001,LOC000061,P000625,,2024-10-18T08:15:34Z,Signature chain surveillance sighting #1 near Central Market Junction,SYNTHETIC
SR000002,LOC000061,P000626,,2024-10-18T10:15:34Z,Signature chain surveillance sighting #2 near Central Market Junction,SYNTHETIC
SR000003,LOC000061,P000626,VH000235,2024-10-18T07:15:34Z,Signature chain surveillance sighting #3 near Central Market Junction,SYNTHETIC
SR000004,LOC000050,P000395,,2024-09-29T19:43:15Z,Subject met unidentified associate at Ganapathy Bus Terminus,SYNTHETIC
SR000005,LOC000041,P000576,VH000193,2024-05-02T23:16:58Z,Routine patrol log entry - Vilachery Cold Storage,SYNTHETIC
SR000006,LOC000012,P000169,,2026-06-05T17:09:53Z,Vehicle sighting captured by ANPR at KK Nagar Night Bazaar,SYNTHETIC
SR000007,LOC000042,P000533,,2024-12-04T22:09:12Z,Routine patrol log entry - Chromepet Agro Market,SYNTHETIC
SR000008,LOC000041,P000511,,2024-02-19T02:02:38Z,Subject used phone while parked near Vilachery Cold Storage,SYNTHETIC
SR000009,LOC000023,P000483,,2024-08-13T21:07:54Z,Subject met unidentified associate at Sundarankottai Fuel Station,SYNTHETIC
SR000010,LOC000044,P000093,,2026-04-15T15:06:48Z,CCTV frame captured at Sulur Check Post toll plaza,SYNTHETIC
SR000011,LOC000021,P000437,,2025-06-12T13:36:06Z,Subject used phone while parked near Valluvar Layout Harbour Gate,SYNTHETIC
SR000012,LOC000022,P000381,,2024-04-29T22:15:19Z,Vehicle sighting captured by ANPR at Nellithope Cold Storage,SYNTHETIC
SR000013,LOC000015,P000461,,2024-04-08T11:59:06Z,Subject used phone while parked near Valluvar Layout Night Bazaar,SYNTHETIC
SR000014,LOC000047,P000368,VH000186,2025-05-18T07:58:33Z,Vehicle sighting captured by ANPR at Azhagar Koil Road Junction,SYNTHETIC
SR000015,LOC000009,P000617,,2025-01-24T01:06:54Z,CCTV frame captured at Chokkanadar Pettai Oil Depot toll plaza,SYNTHETIC
SR000016,LOC000058,P000339,VH000179,2024-05-30T03:01:01Z,Vehicle TN25 YH 7757 (van) recorded entering Anna Nagar Lorry Park,SYNTHETIC
SR000017,LOC000041,P000586,,2025-08-31T13:14:10Z,CCTV frame captured at Vilachery Cold Storage toll plaza,SYNTHETIC
SR000018,LOC000014,P000295,,2024-12-20T20:52:57Z,Subject met unidentified associate at Estancia Bridge End,SYNTHETIC
SR000019,LOC000031,P000393,VH000194,2025-10-16T15:03:50Z,Vehicle TN25 WF 5908 (van) recorded entering Peelamedu Textile Mill,SYNTHETIC
SR000020,LOC000050,P000203,,2024-03-04T22:27:53Z,Subject observed on foot near Ganapathy Bus Terminus,SYNTHETIC
SR000021,LOC000020,P000293,VH000166,2025-03-30T18:23:48Z,Vehicle sighting captured by ANPR at Mylapore City Police Station,SYNTHETIC
SR000022,LOC000012,P000605,,2025-07-23T23:58:14Z,Subject used phone while parked near KK Nagar Night Bazaar,SYNTHETIC
SR000023,LOC000031,P000046,,2025-04-23T23:15:52Z,Subject observed on foot near Peelamedu Textile Mill,SYNTHETIC
SR000024,LOC000050,P000302,,2025-07-06T05:02:22Z,Subject used phone while parked near Ganapathy Bus Terminus,SYNTHETIC
SR000025,LOC000052,P000168,VH000171,2026-08-08T14:43:54Z,Subject observed on foot near Coimbatore Junction Construction Site,SYNTHETIC
SR000026,LOC000039,P000425,,2025-12-02T10:36:44Z,Routine patrol log entry - Thirunagar Industrial Estate,SYNTHETIC
SR000027,LOC000049,P000186,VH000125,2025-11-30T14:49:14Z,Subject met unidentified associate at Gandhipuram Warehouse Complex,SYNTHETIC
SR000028,LOC000024,P000456,,2024-01-11T03:31:30Z,Vehicle sighting captured by ANPR at Palladam Check Post,SYNTHETIC
SR000029,LOC000039,P000455,,2026-04-05T17:22:00Z,Vehicle sighting captured by ANPR at Thirunagar Industrial Estate,SYNTHETIC
SR000030,LOC000033,P000138,,2025-08-14T20:58:16Z,Vehicle sighting captured by ANPR at Ukkadam Toll Plaza,SYNTHETIC
SR000031,LOC000034,P000005,,2025-06-06T16:56:24Z,Subject met unidentified associate at Mattuthavani Junction,SYNTHETIC
SR000032,LOC000002,P000432,,2025-09-08T20:22:43Z,Subject met unidentified associate at Velachery Oil Depot,SYNTHETIC
SR000033,LOC000023,P000015,,2024-09-21T15:43:39Z,Subject used phone while parked near Sundarankottai Fuel Station,SYNTHETIC
SR000034,LOC000003,P000054,,2025-08-03T22:08:30Z,Vehicle sighting captured by ANPR at Thirunagar Cold Storage,SYNTHETIC
SR000035,LOC000047,P000517,,2026-05-04T16:01:55Z,CCTV frame captured at Azhagar Koil Road Junction toll plaza,SYNTHETIC
SR000036,LOC000003,P000094,VH000229,2024-01-20T22:31:57Z,Subject observed on foot near Thirunagar Cold Storage,SYNTHETIC
SR000037,LOC000057,P000538,VH000220,2025-11-12T01:48:32Z,Routine patrol log entry - Azhagar Koil Road Fuel Station,SYNTHETIC
SR000038,LOC000028,P000385,VH000191,2025-09-08T07:06:56Z,Vehicle TN39 UB 2519 (motorcycle) recorded entering Ganapathy Mandi,SYNTHETIC
SR000039,LOC000033,P000556,,2026-01-19T18:12:14Z,Subject met unidentified associate at Ukkadam Toll Plaza,SYNTHETIC
SR000040,LOC000031,P000256,,2026-05-16T06:15:17Z,CCTV frame captured at Peelamedu Textile Mill toll plaza,SYNTHETIC
SR000041,LOC000013,P000344,VH000181,2025-08-04T21:46:11Z,Vehicle TN62 AN 8539 (SUV) recorded entering Bharathi Bazaar Wholesale Market,SYNTHETIC
SR000042,LOC000009,P000086,,2024-01-28T07:58:55Z,Subject met unidentified associate at Chokkanadar Pettai Oil Depot,SYNTHETIC
SR000043,LOC000059,P000381,,2025-09-09T11:23:07Z,Subject observed on foot near RS Puram Agro Market,SYNTHETIC
SR000044,LOC000008,P000191,,2025-09-15T09:18:08Z,Routine patrol log entry - Ambattur Warehouse Complex,SYNTHETIC
SR000045,LOC000002,P000232,,2024-06-14T20:36:40Z,Routine patrol log entry - Velachery Oil Depot,SYNTHETIC
SR000046,LOC000027,P000223,,2024-07-08T06:19:13Z,Subject used phone while parked near Mettupalayam Cold Storage,SYNTHETIC
SR000047,LOC000059,P000290,VH000164,2025-02-01T22:54:41Z,Subject observed on foot near RS Puram Agro Market,SYNTHETIC
SR000048,LOC000003,P000074,,2024-05-30T19:44:10Z,Subject observed on foot near Thirunagar Cold Storage,SYNTHETIC
SR000049,LOC000058,P000413,,2026-07-22T11:23:38Z,CCTV frame captured at Anna Nagar Lorry Park toll plaza,SYNTHETIC
SR000050,LOC000007,P000259,VH000041,2025-12-28T10:46:33Z,Subject met unidentified associate at Muthialpet Check Post,SYNTHETIC
SR000051,LOC000005,P000437,,2025-06-01T02:56:28Z,Subject observed on foot near Kajamalai Junction,SYNTHETIC
SR000052,LOC000047,P000118,VH000080,2024-04-21T23:22:26Z,Subject observed on foot near Azhagar Koil Road Junction,SYNTHETIC
SR000053,LOC000042,P000618,,2025-12-29T08:13:10Z,CCTV frame captured at Chromepet Agro Market toll plaza,SYNTHETIC
SR000054,LOC000034,P000145,,2024-09-08T18:36:32Z,Subject observed on foot near Mattuthavani Junction,SYNTHETIC
SR000055,LOC000006,P000130,VH000087,2024-08-24T11:45:24Z,CCTV frame captured at Pappanaickenpalayam Bridge End toll plaza,SYNTHETIC
SR000056,LOC000039,P000401,,2024-11-29T01:47:16Z,Subject observed on foot near Thirunagar Industrial Estate,SYNTHETIC
SR000057,LOC000061,P000296,,2025-07-23T02:34:49Z,CCTV frame captured at Central Market Junction toll plaza,SYNTHETIC
SR000058,LOC000034,P000347,,2024-01-23T20:03:00Z,Subject met unidentified associate at Mattuthavani Junction,SYNTHETIC
SR000059,LOC000053,P000179,,2024-03-08T00:06:43Z,Subject observed on foot near Mettupalayam Wholesale Market,SYNTHETIC
SR000060,LOC000054,P000329,,2024-12-04T15:12:07Z,Subject observed on foot near Kallamadu Agro Market,SYNTHETIC
SR000061,LOC000044,P000405,,2024-09-25T01:13:14Z,Subject used phone while parked near Sulur Check Post,SYNTHETIC
SR000062,LOC000042,P000222,VH000145,2026-02-23T05:07:14Z,Subject used phone while parked near Chromepet Agro Market,SYNTHETIC
SR000063,LOC000007,P000473,VH000208,2024-03-19T17:13:20Z,Subject observed on foot near Muthialpet Check Post,SYNTHETIC
SR000064,LOC000059,P000417,,2026-05-18T03:28:55Z,Subject observed on foot near RS Puram Agro Market,SYNTHETIC
SR000065,LOC000022,P000432,,2025-01-24T13:20:14Z,Vehicle sighting captured by ANPR at Nellithope Cold Storage,SYNTHETIC
SR000066,LOC000040,P000555,VH000221,2026-07-16T06:10:16Z,Subject met unidentified associate at Gandhipuram Textile Mill,SYNTHETIC
SR000067,LOC000001,P000619,,2026-05-01T03:28:22Z,Subject met unidentified associate at Ganapathy City Police Station,SYNTHETIC
SR000068,LOC000017,P000034,,2026-01-09T03:27:05Z,Subject met unidentified associate at Egmore Cold Storage,SYNTHETIC
SR000069,LOC000046,P000389,,2025-05-14T10:28:26Z,Subject observed on foot near Royapuram Fuel Station,SYNTHETIC
SR000070,LOC000015,P000273,,2026-03-14T13:13:43Z,Vehicle sighting captured by ANPR at Valluvar Layout Night Bazaar,SYNTHETIC
SR000071,LOC000009,P000069,VH000046,2024-05-22T16:35:17Z,Routine patrol log entry - Chokkanadar Pettai Oil Depot,SYNTHETIC
SR000072,LOC000030,P000010,VH000008,2025-12-12T18:29:56Z,Vehicle sighting captured by ANPR at Ganapathy Junction,SYNTHETIC
SR000073,LOC000054,P000358,,2026-01-15T17:35:35Z,Subject used phone while parked near Kallamadu Agro Market,SYNTHETIC
SR000074,LOC000006,P000042,VH000029,2024-07-27T10:57:54Z,CCTV frame captured at Pappanaickenpalayam Bridge End toll plaza,SYNTHETIC
SR000075,LOC000009,P000448,VH000167,2025-08-09T18:08:45Z,CCTV frame captured at Chokkanadar Pettai Oil Depot toll plaza,SYNTHETIC
SR000076,LOC000055,P000122,,2024-12-23T23:43:05Z,Subject met unidentified associate at Kuruvikulam Construction Site,SYNTHETIC
SR000077,LOC000005,P000551,,2026-08-29T03:10:30Z,Routine patrol log entry - Kajamalai Junction,SYNTHETIC
SR000078,LOC000056,P000601,,2025-04-05T23:09:02Z,Subject observed on foot near Kallamadu Industrial Estate,SYNTHETIC
SR000079,LOC000049,P000593,,2025-09-18T10:03:11Z,Routine patrol log entry - Gandhipuram Warehouse Complex,SYNTHETIC
SR000080,LOC000048,P000408,,2025-08-04T19:00:18Z,Subject met unidentified associate at Sulur Railway Yard,SYNTHETIC
SR000081,LOC000036,P000149,,2024-01-21T18:59:15Z,Subject met unidentified associate at Pothigai Nagar Oil Depot,SYNTHETIC
SR000082,LOC000021,P000435,,2024-05-06T08:27:03Z,Subject observed on foot near Valluvar Layout Harbour Gate,SYNTHETIC
SR000083,LOC000040,P000415,,2024-11-29T14:53:38Z,Subject met unidentified associate at Gandhipuram Textile Mill,SYNTHETIC
SR000084,LOC000042,P000159,VH000106,2026-08-18T11:48:36Z,Subject used phone while parked near Chromepet Agro Market,SYNTHETIC
SR000085,LOC000033,P000460,,2024-05-12T09:36:13Z,Routine patrol log entry - Ukkadam Toll Plaza,SYNTHETIC
SR000086,LOC000010,P000366,,2024-01-12T00:52:29Z,Subject observed on foot near Kuruvikulam Residential Layout,SYNTHETIC
SR000087,LOC000011,P000234,,2024-08-23T10:26:35Z,Subject observed on foot near Peelamedu Harbour Gate,SYNTHETIC
SR000088,LOC000023,P000347,,2024-01-30T01:20:31Z,Subject observed on foot near Sundarankottai Fuel Station,SYNTHETIC
SR000089,LOC000058,P000613,,2024-08-03T18:49:11Z,Subject observed on foot near Anna Nagar Lorry Park,SYNTHETIC
SR000090,LOC000059,P000356,,2026-04-17T13:24:34Z,CCTV frame captured at RS Puram Agro Market toll plaza,SYNTHETIC
SR000091,LOC000015,P000215,,2024-04-08T11:29:24Z,Routine patrol log entry - Valluvar Layout Night Bazaar,SYNTHETIC
SR000092,LOC000052,P000196,,2024-09-30T10:54:29Z,Vehicle sighting captured by ANPR at Coimbatore Junction Construction Site,SYNTHETIC
SR000093,LOC000006,P000323,,2025-11-03T04:41:06Z,Subject used phone while parked near Pappanaickenpalayam Bridge End,SYNTHETIC
SR000094,LOC000054,P000174,VH000118,2025-05-21T20:53:08Z,CCTV frame captured at Kallamadu Agro Market toll plaza,SYNTHETIC
SR000095,LOC000039,P000109,VH000074,2025-07-19T10:07:33Z,Vehicle TN25 DN 5476 (SUV) recorded entering Thirunagar Industrial Estate,SYNTHETIC
SR000096,LOC000021,P000452,,2024-03-11T15:54:01Z,Routine patrol log entry - Valluvar Layout Harbour Gate,SYNTHETIC
SR000097,LOC000053,P000545,,2025-10-29T08:26:55Z,Vehicle sighting captured by ANPR at Mettupalayam Wholesale Market,SYNTHETIC
SR000098,LOC000011,P000412,,2024-08-03T09:32:49Z,Vehicle sighting captured by ANPR at Peelamedu Harbour Gate,SYNTHETIC
SR000099,LOC000012,P000439,VH000201,2025-11-10T09:50:57Z,Vehicle sighting captured by ANPR at KK Nagar Night Bazaar,SYNTHETIC
SR000100,LOC000022,P000526,,2025-07-28T22:37:31Z,Subject observed on foot near Nellithope Cold Storage,SYNTHETIC
SR000101,LOC000034,P000620,,2025-04-20T14:58:23Z,CCTV frame captured at Mattuthavani Junction toll plaza,SYNTHETIC
SR000102,LOC000018,P000232,,2025-04-16T15:10:18Z,CCTV frame captured at Anna Nagar Bus Terminus toll plaza,SYNTHETIC
SR000103,LOC000006,P000518,VH000050,2026-03-17T15:14:52Z,Subject used phone while parked near Pappanaickenpalayam Bridge End,SYNTHETIC
SR000104,LOC000045,P000455,,2024-12-06T05:28:49Z,Subject observed on foot near Pothigai Nagar Toll Plaza,SYNTHETIC
SR000105,LOC000030,P000157,VH000169,2025-05-19T16:40:53Z,Routine patrol log entry - Ganapathy Junction,SYNTHETIC
SR000106,LOC000011,P000276,,2025-01-16T14:21:52Z,Subject used phone while parked near Peelamedu Harbour Gate,SYNTHETIC
SR000107,LOC000038,P000570,VH000224,2025-05-01T09:07:18Z,Vehicle TN23 FE 9296 (SUV) recorded entering Tambaram Toll Plaza,SYNTHETIC
SR000108,LOC000012,P000309,,2024-07-24T07:35:48Z,Subject used phone while parked near KK Nagar Night Bazaar,SYNTHETIC
SR000109,LOC000030,P000421,,2025-05-20T03:30:20Z,Subject met unidentified associate at Ganapathy Junction,SYNTHETIC
SR000110,LOC000009,P000520,,2024-06-26T01:33:56Z,Subject used phone while parked near Chokkanadar Pettai Oil Depot,SYNTHETIC
SR000111,LOC000025,P000035,VH000024,2025-01-14T09:13:44Z,Subject met unidentified associate at Anna Nagar Check Post,SYNTHETIC
SR000112,LOC000022,P000575,VH000003,2024-02-29T17:56:52Z,Subject met unidentified associate at Nellithope Cold Storage,SYNTHETIC
SR000113,LOC000004,P000052,,2026-02-23T11:36:30Z,CCTV frame captured at Chokkanadar Harbour Police Station toll plaza,SYNTHETIC
SR000114,LOC000035,P000492,,2024-02-11T00:15:32Z,Routine patrol log entry - Arumbakkam Godown Compound,SYNTHETIC
SR000115,LOC000049,P000419,,2024-11-21T06:14:26Z,Subject met unidentified associate at Gandhipuram Warehouse Complex,SYNTHETIC
SR000116,LOC000009,P000172,VH000117,2024-01-01T20:03:51Z,Subject observed on foot near Chokkanadar Pettai Oil Depot,SYNTHETIC
SR000117,LOC000048,P000421,VH000220,2025-12-27T06:22:10Z,Subject used phone while parked near Sulur Railway Yard,SYNTHETIC
SR000118,LOC000060,P000556,VH000084,2025-03-30T11:49:44Z,Routine patrol log entry - Ukkadam Cold Storage,SYNTHETIC
SR000119,LOC000015,P000519,,2025-07-02T02:10:44Z,Routine patrol log entry - Valluvar Layout Night Bazaar,SYNTHETIC
SR000120,LOC000030,P000551,,2025-07-19T14:06:13Z,Subject observed on foot near Ganapathy Junction,SYNTHETIC
SR000121,LOC000053,P000219,,2025-04-16T02:35:56Z,Subject observed on foot near Mettupalayam Wholesale Market,SYNTHETIC
SR000122,LOC000014,P000055,,2024-05-27T10:57:30Z,Subject met unidentified associate at Estancia Bridge End,SYNTHETIC
