id,registration_number,owner_person_id,vehicle_type,data_source,created_at
VH000001,TN46 EL 7653,P000001,lorry,SYNTHETIC,2026-09-07T05:25:48.231449Z
VH000002,TN46 GM 9740,P000002,motorcycle,SYNTHETIC,2026-09-07T05:25:48.231485Z
VH000003,TN01 MJ 6572,P000003,SUV,SYNTHETIC,2026-09-07T05:25:48.231510Z
VH000004,TN45 WB 4957,P000004,bus,SYNTHETIC,2026-09-07T05:25:48.231529Z
VH000005,TN34 CZ 6724,P000006,motorcycle,SYNTHETIC,2026-09-07T05:25:48.231550Z
VH000006,TN39 ZD 1858,P000008,SUV,SYNTHETIC,2026-09-07T05:25:48.231569Z
VH000007,TN46 EL 5488,P000009,sedan,SYNTHETIC,2026-09-07T05:25:48.231589Z
VH000008,TN23 TZ 4377,P000010,sedan,SYNTHETIC,2026-09-07T05:25:48.231607Z
VH000009,TN43 KF 4053,P000011,sedan,SYNTHETIC,2026-09-07T05:25:48.231623Z
VH000010,TN28 VU 8877,P000014,truck,SYNTHETIC,2026-09-07T05:25:48.231642Z
VH000011,TN51 ND 2201,P000018,sedan,SYNTHETIC,2026-09-07T05:25:48.231661Z
VH000012,TN23 BT 6416,P000019,truck,SYNTHETIC,2026-09-07T05:25:48.231680Z
VH000013,TN27 HP 1885,P000020,van,SYNTHETIC,2026-09-07T05:25:48.231697Z
VH000014,TN43 YW 8595,P000021,SUV,SYNTHETIC,2026-09-07T05:25:48.231714Z
VH000015,TN01 RS 5495,P000025,sedan,SYNTHETIC,2026-09-07T05:25:48.231733Z
VH000016,TN45 MP 1698,P000026,motorcycle,SYNTHETIC,2026-09-07T05:25:48.231750Z
VH000017,TN25 MB 7551,P000027,sedan,SYNTHETIC,2026-09-07T05:25:48.231767Z
VH000018,TN46 SH 5078,P000028,truck,SYNTHETIC,2026-09-07T05:25:48.231783Z
VH000019,TN49 DT 5910,P000029,motorcycle,SYNTHETIC,2026-09-07T05:25:48.231802Z
VH000020,TN50 DT 3521,P000030,lorry,SYNTHETIC,2026-09-07T05:25:48.231818Z
VH000021,TN01 BB 2764,P000031,SUV,SYNTHETIC,2026-09-07T05:25:48.231834Z
VH000022,TN49 AL 5724,P000032,motorcycle,SYNTHETIC,2026-09-07T05:25:48.231849Z
VH000023,TN64 YX 5807,P000034,pickup,SYNTHETIC,2026-09-07T05:25:48.231866Z
