id,person_id,case_id,created_at
VI000001,P000530,CS000002,2026-09-07T05:41:20.158527Z
VI000002,P000487,CS000003,2026-09-07T05:41:20.158533Z
VI000003,P000576,CS000004,2026-09-07T05:41:20.158537Z
VI000004,P000581,CS000005,2026-09-07T05:41:20.158542Z
VI000005,P000536,CS000009,2026-09-07T05:41:20.158546Z
VI000006,P000491,CS000010,2026-09-07T05:41:20.158552Z
VI000007,P000461,CS000012,2026-09-07T05:41:20.158559Z
VI000008,P000560,CS000017,2026-09-07T05:41:20.158565Z
VI000009,P000609,CS000018,2026-09-07T05:41:20.158570Z
VI000010,P000529,CS000019,2026-09-07T05:41:20.158575Z
VI000011,P000554,CS000020,2026-09-07T05:41:20.158580Z
VI000012,P000473,CS000021,2026-09-07T05:41:20.158585Z
VI000013,P000539,CS000024,2026-09-07T05:41:20.158591Z
VI000014,P000603,CS000031,2026-09-07T05:41:20.158598Z
VI000015,P000559,CS000035,2026-09-07T05:41:20.158603Z
VI000016,P000452,CS000036,2026-09-07T05:41:20.158608Z
VI000017,P000525,CS000039,2026-09-07T05:41:20.158613Z
VI000018,P000517,CS000042,2026-09-07T05:41:20.158619Z
VI000019,P000547,CS000044,2026-09-07T05:41:20.158625Z
VI000020,P000473,CS000047,2026-09-07T05:41:20.158631Z
VI000021,P000475,CS000050,2026-09-07T05:41:20.158636Z
VI000022,P000454,CS000051,2026-09-07T05:41:20.158641Z
VI000023,P000457,CS000052,2026-09-07T05:41:20.158647Z
VI000024,P000609,CS000053,2026-09-07T05:41:20.158653Z
VI000025,P000459,CS000057,2026-09-07T05:41:20.158659Z
VI000026,P000503,CS000058,2026-09-07T05:41:20.158679Z
VI000027,P000464,CS000061,2026-09-07T05:41:20.158685Z
VI000028,P000488,CS000062,2026-09-07T05:41:20.158691Z
VI000029,P000455,CS000064,2026-09-07T05:41:20.158697Z
VI000030,P000493,CS000066,2026-09-07T05:41:20.158703Z
VI000031,P000594,CS000067,2026-09-07T05:41:20.158709Z
VI000032,P000470,CS000071,2026-09-07T05:41:20.158713Z
VI000033,P000609,CS000072,2026-09-07T05:41:20.158717Z
VI000034,P000476,CS000073,2026-09-07T05:41:20.158721Z
VI000035,P000495,CS000075,2026-09-07T05:41:20.158727Z
VI000036,P000510,CS000076,2026-09-07T05:41:20.158733Z
VI000037,P000496,CS000077,2026-09-07T05:41:20.158738Z
VI000038,P000591,CS000080,2026-09-07T05:41:20.158743Z
VI000039,P000520,CS000082,2026-09-07T05:41:20.158749Z
VI000040,P000532,CS000083,2026-09-07T05:41:20.158755Z
VI000041,P000571,CS000084,2026-09-07T05:41:20.158760Z
VI000042,P000516,CS000085,2026-09-07T05:41:20.158764Z
VI000043,P000608,CS000088,2026-09-07T05:41:20.158768Z
VI000044,P000505,CS000091,2026-09-07T05:41:20.158771Z
